Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
1995,21,NYY,AL,15,51,48,5,12,4,1,0,7,0,0,3,11,.250,.294,.375,.669,74,18,0,0,0,0,0,6,
1996,22,NYY,AL,157,654,582,104,183,25,6,10,78,14,7,48,102,.314,.370,.430,.800,101,250,13,9,6,9,1,*6,RoY-1
1997,23,NYY,AL,159,748,654,116,190,31,7,10,70,23,12,74,125,.291,.370,.405,.775,103,265,14,10,8,2,0,*6,MVP-24
1998,24,NYY,AL,149,694,626,127,203,25,8,19,84,30,6,57,119,.324,.384,.481,.864,127,301,13,5,3,3,1,*6,ASMVP-3
1999,25,NYY,AL,158,739,627,134,219,37,9,24,102,19,8,91,116,.349,.438,.552,.989,153,346,12,12,3,6,5,*6,ASMVP-6
2000,26,NYY,AL,148,679,593,119,201,31,4,15,73,22,4,68,99,.339,.416,.481,.896,128,285,14,12,3,3,4,*6,ASMVP-10
2001,27,NYY,AL,150,686,614,110,191,35,3,21,74,27,3,56,99,.311,.377,.480,.858,124,295,13,10,5,1,3,*6,ASMVP-10
2002,28,NYY,AL,157,730,644,124,191,26,0,18,75,32,3,73,114,.297,.373,.421,.794,111,271,14,7,3,3,2,*6/D,AS
2003,29,NYY,AL,119,542,482,87,156,25,3,10,52,11,5,43,88,.324,.393,.450,.844,125,217,10,13,3,1,2,*6,MVP-21
2004,30,NYY,AL,154,721,643,111,188,44,1,23,78,23,4,46,99,.292,.352,.471,.823,114,303,19,14,16,2,1,*6,ASMVP-13GG
2005,31,NYY,AL,159,752,654,122,202,25,5,19,70,14,5,77,117,.309,.389,.450,.839,125,294,15,11,7,3,3,*6/D,MVP-10GG
2006,32,NYY,AL,154,715,623,118,214,39,3,14,97,34,5,69,102,.343,.417,.483,.900,132,301,13,12,7,4,4,*6/D,ASMVP-2GGSS
2007,33,NYY,AL,156,714,639,102,206,39,4,12,73,15,8,56,100,.322,.388,.452,.840,121,289,21,14,3,2,3,*6,ASMVP-11SS
2008,34,NYY,AL,150,668,596,88,179,25,3,11,69,11,5,52,85,.300,.363,.408,.771,102,243,24,9,7,4,0,*6/D,ASSS
2009,35,NYY,AL,153,716,634,107,212,27,1,18,66,30,5,72,90,.334,.406,.465,.871,125,295,18,5,4,1,4,*6/D,ASMVP-3GGSS
2010,36,NYY,AL,157,739,663,111,179,30,3,10,67,18,5,63,106,.270,.340,.370,.710,90,245,22,9,1,3,4,*6/D,ASGG
2011,37,NYY,AL,131,607,546,84,162,24,4,6,61,16,6,46,81,.297,.355,.388,.743,100,212,10,6,4,5,0,*6D,AS
2012,38,NYY,AL,159,740,683,99,216,32,0,15,58,9,4,45,90,.316,.362,.429,.791,114,293,24,5,6,1,1,*6D,ASMVP-7SS
2013,39,NYY,AL,17,73,63,8,12,1,0,1,7,0,0,8,10,.190,.288,.254,.542,51,16,3,1,0,1,1,6/D,
2014,40,NYY,AL,12,51,44,3,13,3,0,0,2,0,0,5,9,.295,.380,.364,.744,112,16,1,1,1,0,0,*6,
20 Yrs,20 Yrs,20 Yrs,20 Yrs,2614,12019,10658,1879,3329,528,65,256,1263,348,95,1052,1762,.312,.381,.446,.827,117,4755,273,165,90,54,39,,
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,745,661,116,206,33,4,16,78,22,6,65,109,.312,.381,.446,.827,117,295,17,10,6,3,2,,
,,,,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
